epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90498,0.89621,0.51887,1.05559,0.92191,1,0.995,0.61537,1.43448,0.59388,1.70056,1.111e-05,1.111e-05,1.111e-05
2,2.79951,0.91462,0.59121,1.04626,0.93004,1,0.995,0.63016,1.44209,0.61231,1.72603,3.27801e-05,3.27801e-05,3.27801e-05
3,3.56033,0.87072,0.5509,1.05498,0.93543,1,0.995,0.62593,1.45611,0.61829,1.75745,5.37169e-05,5.37169e-05,5.37169e-05
4,4.2621,1.02178,0.60291,1.20322,0.91653,0.97862,0.985,0.57679,1.45832,0.66004,1.68529,7.39204e-05,7.39204e-05,7.39204e-05
5,5.01486,0.89587,0.59886,1.07611,0.91428,0.98622,0.985,0.54365,1.50018,0.6621,1.6656,9.33907e-05,9.33907e-05,9.33907e-05
6,5.76621,0.85161,0.56559,1.11385,0.92522,0.97489,0.985,0.5466,1.5264,0.66297,1.69896,0.000112128,0.000112128,0.000112128
7,6.55406,0.83936,0.52049,1.03806,0.885,1,0.975,0.54359,1.52056,0.6582,1.74554,0.000130131,0.000130131,0.000130131
8,7.28199,0.99199,0.73415,1.17788,0.90436,0.98756,0.985,0.5919,1.56057,0.70749,1.82032,0.000147402,0.000147402,0.000147402
9,7.97381,0.91946,0.55479,1.05528,0.91869,0.96819,0.985,0.5794,1.54052,0.72562,1.77887,0.000163939,0.000163939,0.000163939
10,8.66429,0.84844,0.54958,1.06294,0.88346,0.97484,0.975,0.57831,1.51444,0.68613,1.72834,0.000179743,0.000179743,0.000179743
11,9.35845,0.8532,0.47955,1.09196,0.87327,0.97444,0.965,0.55014,1.52565,0.68864,1.66724,0.000194814,0.000194814,0.000194814
12,10.0967,0.88453,0.50738,1.05097,0.89936,0.96883,0.9552,0.54578,1.52984,0.69636,1.65766,0.000209151,0.000209151,0.000209151
13,10.8649,0.78132,0.45764,1.01595,0.90476,0.97238,0.965,0.55855,1.50542,0.70461,1.65906,0.000222756,0.000222756,0.000222756
14,11.6287,0.83652,0.57489,1.08737,0.90211,0.97837,0.965,0.57649,1.51374,0.7357,1.71077,0.000235626,0.000235626,0.000235626
15,12.3352,0.82561,0.52088,1.07849,0.90504,0.98483,0.975,0.59062,1.54985,0.70632,1.72489,0.000247764,0.000247764,0.000247764
16,13.0535,0.90827,0.51864,1.08708,0.90248,1,0.985,0.63366,1.53879,0.68096,1.74344,0.000259169,0.000259169,0.000259169
17,13.8275,0.75672,0.55954,1.0416,0.93458,0.99141,0.995,0.59859,1.52772,0.65569,1.7798,0.00026984,0.00026984,0.00026984
18,14.5419,0.86635,0.52711,1.06677,0.92945,0.99582,0.995,0.59188,1.54852,0.64232,1.86372,0.000279778,0.000279778,0.000279778
19,15.2563,0.73666,0.41686,1.0318,0.86142,0.99844,0.96167,0.56006,1.55159,0.65668,1.87817,0.000288982,0.000288982,0.000288982
20,15.973,0.80311,0.49603,1.04153,0.8637,0.99065,0.96167,0.53923,1.67755,0.68556,1.88825,0.000297454,0.000297454,0.000297454
21,16.6813,0.97737,0.57526,1.0373,0.8337,0.94036,0.96167,0.53757,1.66788,0.76388,1.86554,0.000305192,0.000305192,0.000305192
22,17.3613,0.88568,0.52376,1.05245,0.8426,0.94614,0.96167,0.53803,1.66525,0.75509,1.87396,0.000312197,0.000312197,0.000312197
