epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29.9184,0.85295,0.50481,1.17675,0.9326,0.94223,0.985,0.56624,1.59872,0.59164,2.02686,0.000298309,0.000298309,0.000298309
43,30.5885,0.78778,0.51554,1.13026,0.9326,0.94223,0.985,0.56624,1.59872,0.59164,2.02686,0.000289915,0.000289915,0.000289915
44,31.2988,0.68803,0.41169,0.99807,0.91574,1,0.995,0.59773,1.58362,0.60927,2.03745,0.000280789,0.000280789,0.000280789
45,31.9936,0.74511,0.47941,0.98508,0.91574,1,0.995,0.59773,1.58362,0.60927,2.03745,0.000270928,0.000270928,0.000270928
46,32.6861,0.6407,0.40166,0.94824,0.90527,1,0.995,0.60516,1.54222,0.612,1.97419,0.000260335,0.000260335,0.000260335
47,33.3951,0.72024,0.45919,1.04456,0.90527,1,0.995,0.60516,1.54222,0.612,1.97419,0.000249008,0.000249008,0.000249008
48,34.1142,0.69606,0.39555,1.0346,0.92228,1,0.995,0.61357,1.51806,0.63904,1.92531,0.000236949,0.000236949,0.000236949
49,34.8197,0.64012,0.40832,0.97586,0.92228,1,0.995,0.61357,1.51806,0.63904,1.92531,0.000224155,0.000224155,0.000224155
50,35.5833,0.62912,0.42916,0.93356,0.93915,1,0.995,0.62326,1.51069,0.67377,1.83132,0.000210629,0.000210629,0.000210629
51,53.5145,0.59444,0.35437,0.94293,0.93915,1,0.995,0.62326,1.51069,0.67377,1.83132,0.000194425,0.000194425,0.000194425
52,54.2839,0.67382,0.43451,1.04876,0.94131,1,0.995,0.6284,1.4783,0.63265,1.77118,0.000176094,0.000176094,0.000176094
53,55.0092,0.5836,0.38304,0.96522,0.94131,1,0.995,0.6284,1.4783,0.63265,1.77118,0.000157762,0.000157762,0.000157762
54,55.7454,0.60353,0.37754,0.98429,0.94131,1,0.985,0.60811,1.47538,0.58669,1.7447,0.000139431,0.000139431,0.000139431
55,56.4242,0.65493,0.39739,0.97518,0.94131,1,0.985,0.60811,1.47538,0.58669,1.7447,0.000121099,0.000121099,0.000121099
56,57.1367,0.67326,0.41564,1.06376,0.93162,0.99794,0.985,0.6122,1.48488,0.58376,1.73915,0.000102768,0.000102768,0.000102768
57,57.8238,0.58644,0.35143,0.9759,0.93162,0.99794,0.985,0.6122,1.48488,0.58376,1.73915,8.4436e-05,8.4436e-05,8.4436e-05
58,58.5357,0.67373,0.37078,0.90631,0.93483,0.99025,0.995,0.61411,1.48484,0.56873,1.81138,6.61045e-05,6.61045e-05,6.61045e-05
59,59.2759,0.51487,0.35132,0.91871,0.93483,0.99025,0.995,0.61411,1.48484,0.56873,1.81138,4.7773e-05,4.7773e-05,4.7773e-05
60,59.9779,0.59036,0.35342,0.93029,0.93697,0.98793,0.995,0.61487,1.486,0.57104,1.84025,2.94415e-05,2.94415e-05,2.94415e-05
