epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91657,1.69665,3.35708,1.65306,0.07533,0.2,0.16078,0.07322,1.95395,3.71596,2.37463,1.111e-05,1.111e-05,1.111e-05
2,12.2839,1.56001,3.35796,1.57766,0.29457,0.2,0.1635,0.06647,1.89313,3.24792,2.28803,3.27801e-05,3.27801e-05,3.27801e-05
3,18.412,1.33176,2.64391,1.37683,0.41866,0.48834,0.42261,0.24387,1.75168,2.57202,2.20436,5.37169e-05,5.37169e-05,5.37169e-05
4,24.4235,1.45284,2.28688,1.40889,0.69636,0.6,0.58656,0.3735,1.66553,2.81335,2.07018,7.39204e-05,7.39204e-05,7.39204e-05
5,30.8809,1.30252,1.89558,1.31777,0.84857,0.6,0.8132,0.50053,1.71771,4.21165,2.07188,9.33907e-05,9.33907e-05,9.33907e-05
6,36.8728,1.28779,1.56107,1.3989,0.71723,0.67778,0.88666,0.51394,1.6974,2.85309,1.90084,0.000112128,0.000112128,0.000112128
7,42.8093,1.35775,1.26104,1.25921,0.69523,0.77453,0.87821,0.50107,1.69072,1.93095,1.86195,0.000130131,0.000130131,0.000130131
8,48.8141,1.30497,1.36893,1.3316,0.84534,0.86667,0.85175,0.50623,1.63269,1.86506,1.82215,0.000147402,0.000147402,0.000147402
9,54.5764,1.38528,1.30824,1.51998,0.76816,0.86667,0.86335,0.52096,1.5872,2.04815,1.77315,0.000163939,0.000163939,0.000163939
10,60.3066,1.37083,1.67021,1.40751,0.72989,0.86667,0.86501,0.55871,1.59637,1.75806,1.79512,0.000179743,0.000179743,0.000179743
11,65.3416,1.16734,1.00124,1.20453,0.79259,0.86667,0.89935,0.55226,1.59958,1.36859,1.84155,0.000194814,0.000194814,0.000194814
12,70.0621,1.24391,0.92732,1.17487,0.85479,0.86667,0.91239,0.5547,1.69168,1.20606,1.98811,0.000209151,0.000209151,0.000209151
13,75.0127,1.25685,0.95009,1.16818,0.86817,0.89113,0.95686,0.57624,1.69864,1.13377,2.01175,0.000222756,0.000222756,0.000222756
14,79.8344,1.16205,0.89849,1.22948,0.85701,0.92971,0.9405,0.56895,1.67007,1.12375,1.96526,0.000235626,0.000235626,0.000235626
15,84.4031,1.07787,0.87977,1.16043,0.8777,0.97258,0.995,0.59066,1.63721,1.17776,1.89615,0.000247764,0.000247764,0.000247764
16,89.4355,1.10587,0.67801,1.10067,0.88716,0.94196,0.995,0.60519,1.63235,1.19183,1.84432,0.000259169,0.000259169,0.000259169
17,94.436,1.26723,0.80008,1.35147,0.88205,0.937,0.995,0.60568,1.65676,1.09806,1.9324,0.00026984,0.00026984,0.00026984
18,99.4846,1.01759,0.72328,1.14692,0.91863,0.9861,0.995,0.61091,1.63905,0.96547,1.86877,0.000279778,0.000279778,0.000279778
19,104.676,1.14694,0.76487,1.23845,0.93452,0.99876,0.995,0.58282,1.64087,0.93991,1.76325,0.000288982,0.000288982,0.000288982
20,109.7,1.05905,0.6809,1.115,0.93527,1,0.995,0.59307,1.61044,0.91901,1.7317,0.000297454,0.000297454,0.000297454
21,115.361,1.06743,0.77214,1.19357,0.92665,1,0.995,0.62145,1.60144,0.96162,1.85997,0.000305192,0.000305192,0.000305192
22,120.184,1.05468,0.66887,1.20433,0.90726,1,0.995,0.62244,1.61327,0.91392,1.96364,0.000312197,0.000312197,0.000312197
23,124.736,1.06309,0.66673,1.14864,0.8945,1,0.995,0.62149,1.61684,0.8773,1.94828,0.000318468,0.000318468,0.000318468
