epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.15551,1.6361,3.34744,1.61473,0.06859,0.2,0.1139,0.04777,1.98645,3.64873,2.40672,1.111e-05,1.111e-05,1.111e-05
2,1.83491,1.72025,3.40583,1.61055,0.14948,0.14845,0.14343,0.06479,1.93636,3.54889,2.32493,3.27801e-05,3.27801e-05,3.27801e-05
3,2.65075,1.79309,3.19463,1.63461,0.13106,0.19149,0.16785,0.0853,1.90502,3.27106,2.26816,5.37169e-05,5.37169e-05,5.37169e-05
4,3.4608,1.68634,3.4172,1.76008,0.54882,0.15,0.2426,0.13932,1.759,2.96116,2.1003,7.39204e-05,7.39204e-05,7.39204e-05
5,4.2538,1.41041,2.7607,1.47116,0.82052,0.4,0.62917,0.39971,1.64015,2.47324,1.85822,9.33907e-05,9.33907e-05,9.33907e-05
6,5.03126,1.49926,2.33187,1.64428,0.92718,0.4,0.64395,0.36993,1.60203,3.00829,1.73429,0.000112128,0.000112128,0.000112128
7,5.75296,1.3492,1.5797,1.27777,0.43284,0.7053,0.76401,0.42128,1.64685,3.7901,1.69335,0.000130131,0.000130131,0.000130131
8,6.61178,1.36499,1.65103,1.45851,0.79115,0.63844,0.78318,0.4323,1.63472,2.40289,1.77875,0.000147402,0.000147402,0.000147402
9,7.40476,1.32006,1.30456,1.28073,0.83897,0.66325,0.79283,0.45496,1.66267,1.73175,1.7787,0.000163939,0.000163939,0.000163939
10,8.15825,1.22664,1.13056,1.22722,0.90977,0.66693,0.92763,0.54643,1.64328,1.41845,1.72442,0.000179743,0.000179743,0.000179743
11,8.89889,1.21679,1.01664,1.25355,0.67573,0.90547,0.96282,0.5836,1.59806,1.27122,1.60254,0.000194814,0.000194814,0.000194814
12,9.64587,1.25488,0.94713,1.21105,0.77378,0.88281,0.94198,0.59155,1.56386,1.56286,1.50375,0.000209151,0.000209151,0.000209151
13,10.4407,1.23071,0.88829,1.19377,0.83989,0.91383,0.985,0.57304,1.5647,1.7027,1.43255,0.000222756,0.000222756,0.000222756
14,11.1488,1.20692,0.94141,1.27939,0.86821,0.93095,0.985,0.57554,1.60566,1.34617,1.52268,0.000235626,0.000235626,0.000235626
15,11.8408,1.09293,0.9357,1.20354,0.82434,0.98823,0.975,0.56442,1.63928,1.10346,1.60179,0.000247764,0.000247764,0.000247764
16,12.5679,1.22781,0.88025,1.22155,0.88252,0.91361,0.965,0.56367,1.69301,0.99105,1.70235,0.000259169,0.000259169,0.000259169
17,13.3165,1.12917,0.97356,1.22783,0.822,0.87842,0.92327,0.5782,1.72221,1.07219,1.74206,0.00026984,0.00026984,0.00026984
18,14.0247,1.25744,0.8949,1.22857,0.82112,0.9,0.9,0.51869,1.72973,1.04421,1.69317,0.000279778,0.000279778,0.000279778
19,14.7127,1.1191,0.70912,1.20073,0.8163,0.9,0.90676,0.5161,1.68015,0.96365,1.60992,0.000288982,0.000288982,0.000288982
20,15.4024,1.23363,0.75446,1.21869,0.88581,0.8998,0.90929,0.53031,1.64239,0.97973,1.60462,0.000297454,0.000297454,0.000297454
21,16.1197,1.43587,0.84823,1.23098,0.89624,0.92784,0.995,0.58986,1.61277,1.07813,1.63564,0.000305192,0.000305192,0.000305192
22,16.8928,1.18148,0.77463,1.17817,0.86269,0.91825,0.985,0.60206,1.56411,1.02851,1.59871,0.000312197,0.000312197,0.000312197
23,17.6469,1.08239,0.72195,1.07772,0.76559,0.94158,0.94981,0.62208,1.58625,0.92815,1.71014,0.000318468,0.000318468,0.000318468
24,18.4324,1.23594,0.87927,1.40084,0.84463,0.95929,0.93244,0.62243,1.62537,0.89043,1.89705,0.000324006,0.000324006,0.000324006
25,19.1392,1.70964,1.4041,1.75589,0.86209,0.95814,0.92683,0.62327,1.5472,0.83789,1.78603,0.000328812,0.000328812,0.000328812
26,19.8728,1.25443,0.78655,1.33215,0.91325,1,0.975,0.6261,1.52851,0.83344,1.64806,0.000332883,0.000332883,0.000332883
27,20.6148,1.18744,0.7736,1.20582,0.89712,0.99806,0.965,0.5582,1.57678,0.9356,1.60371,0.000336222,0.000336222,0.000336222
28,21.3058,1.11342,0.73899,1.19171,0.89712,0.99806,0.965,0.5582,1.57678,0.9356,1.60371,0.000338827,0.000338827,0.000338827
29,21.9877,1.09314,0.69957,1.12807,0.85706,0.94632,0.985,0.57687,1.57376,1.06198,1.60445,0.000340699,0.000340699,0.000340699
30,22.7168,1.14593,0.70199,1.11137,0.7795,1,0.985,0.5501,1.61097,1.17724,1.72007,0.000341838,0.000341838,0.000341838
31,23.3988,1.07729,0.71108,1.20781,0.7795,1,0.985,0.5501,1.61097,1.17724,1.72007,0.000342244,0.000342244,0.000342244
32,24.0789,1.31687,0.93299,1.49376,0.79056,1,0.985,0.55547,1.66272,1.01862,1.8097,0.000341916,0.000341916,0.000341916
33,24.7708,1.0243,0.61587,1.11942,0.90344,1,0.985,0.55736,1.6695,0.86666,1.94259,0.000340855,0.000340855,0.000340855
